銘柄コード,銘柄名,市場区分,日経225採否,前日終値,時価総額,平均取引量,PBR,PER
8917,ファースト住建,スタンダード（内国株式）,False,1202.0,16793714688.0,55379.0,0.41681013,6.524677
8918,ランド,スタンダード（内国株式）,False,10.0,13840920576.0,113853425.0,1.6080042,15.5172415
8919,カチタス,プライム（内国株式）,False,2810.0,221062627328.0,268865.0,4.7656136,23.128527
8920,東祥,スタンダード（内国株式）,False,726.0,27088685056.0,99630.0,0.7422341,22.405733
8921,シーズクリエイト,PRO Market,False,0.0,2248000000.0,0.0,-0.09245949,9.025212
8923,トーセイ,プライム（内国株式）,False,3355.0,163636199424.0,114501.0,1.6486198,11.562574
8927,明豊エンタープライズ,スタンダード（内国株式）,False,586.0,16958302208.0,289284.0,1.9540477,16.946655
8928,穴吹興産,スタンダード（内国株式）,False,2169.0,22986954752.0,14442.0,0.5276715,3.876527
8929,青山財産ネットワークス,スタンダード（内国株式）,False,2077.0,49606721536.0,43539.0,4.7303042,20.214844
8931,和田興産,スタンダード（内国株式）,False,1663.0,18087200768.0,20239.0,0.5389361,5.8023477
8934,サンフロンティア不動産,プライム（内国株式）,False,2383.0,114679087104.0,100406.0,1.1025234,9.189463
8935,ＦＪネクストホールディングス,プライム（内国株式）,False,1616.0,52664823808.0,56622.0,0.71175385,8.121341
8938,グローム・ホールディングス,グロース（内国株式）,False,641.0,5710777344.0,21303.0,0.77277106,80.69054
8940,インテリックス,スタンダード（内国株式）,False,1051.0,8534754304.0,39247.0,0.6386857,5.103622
8944,ランドビジネス,スタンダード（内国株式）,False,215.0,4247065344.0,22982.0,0.26534244,0.0
8945,サンネクスタグループ,スタンダード（内国株式）,False,1028.0,9373325312.0,7990.0,1.216463,5.5088606
8946,ＡＳＩＡＮ　ＳＴＡＲ,スタンダード（内国株式）,False,105.0,2467399936.0,780588.0,1.1727164,71.72414
8951,日本ビルファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,False,141500.0,1230029979648.0,23640.0,0.35079268,26.170494
